Timestamp,Text,User,Platform,Hashtags,Retweets,Likes,Country,Sentiment
1/15/2023 12:30, Enjoying a beautiful day at the park!              , User123      , Twitter  , #Nature #Park                            ,15,30, USA      , Positive  
1/15/2023 8:45, Traffic was terrible this morning.                 , CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   , Negative  
1/15/2023 15:45, Just finished an amazing workout! 💪               , FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        , Positive  
1/15/2023 18:20, Excited about the upcoming weekend getaway!        , AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       , Positive  
1/15/2023 19:55, Trying out a new recipe for dinner tonight.        , ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia , Neutral   
1/16/2023 9:10, Feeling grateful for the little things in life.    , GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    , Positive  
1/16/2023 14:45, Rainy days call for cozy blankets and hot cocoa.   , RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   , Positive  
1/16/2023 19:30, The new movie release is a must-watch!             , MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    , Positive  
1/17/2023 8:00, Political discussions heating up on the timeline.  , DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      , Negative  
1/17/2023 12:20, Missing summer vibes and beach days.               , BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia , Neutral   
1/17/2023 15:15, Just published a new blog post. Check it out!      , BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA, Positive  
1/18/2023 10:30, Feeling a bit under the weather today.             , WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   , Negative  
1/18/2023 14:50, Exploring the city's hidden gems.                  , UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       , Positive  
1/18/2023 18:00," New year, new fitness goals! 💪                    ", FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        , Positive  
1/19/2023 9:45, Technology is changing the way we live.            , TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    , Neutral   
1/19/2023 13:20, Reflecting on the past and looking ahead.          , Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      , Positive  
1/19/2023 17:10, Just adopted a cute furry friend! 🐾              , PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    , Positive  
1/20/2023 0:05, Late-night gaming session with friends.            , GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       , Positive  
1/20/2023 11:30, Attending a virtual conference on AI.              , TechConference, Facebook , #AI #TechConference                     ,25,50,USA, Neutral   
1/20/2023 15:15, Winter blues got me feeling low.                   , WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       , Negative  
1/21/2023 8:40, Sipping coffee and enjoying a good book.           , Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    , Positive  
1/21/2023 13:20, Exploring the world of virtual reality.            , VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA, Positive  
1/21/2023 16:45, Productive day ticking off my to-do list.          , ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA , Positive  
1/22/2023 9:15, Just finished a challenging workout routine.       , FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       , Positive  
1/22/2023 14:30, Celebrating a milestone at work! 🎉               , CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  , Positive  
1/22/2023 12:00, Sunday brunch with friends.                        , BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK , Positive  
1/23/2023 16:20, Learning a new language for personal growth.       , LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     , Positive  
1/23/2023 19:45, Quiet evening with a good book.                    , BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia , Positive  
1/24/2023 11:30, Reflecting on the importance of mental health.     , MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      , Positive  
1/24/2023 15:00, New painting in progress! 🎨                       , ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada , Positive  
1/24/2023 17:30, Weekend road trip to explore scenic views.         , RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        , Positive  
1/25/2023 18:00, Enjoying a cup of tea and watching the sunset.     , SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    , Positive  
1/25/2023 13:15, Coding a new project with enthusiasm.              , CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA , Positive  
1/26/2023 9:45, Feeling inspired after attending a workshop.       , WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA, Positive  
1/26/2023 14:20, Winter sports day at the local park.               , WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   , Positive  
1/26/2023 17:40, Quality time with family this weekend.             , FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        , Positive  
1/27/2023 20:00, Attending a live music concert tonight.            , MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA , Positive  
1/27/2023 12:30, Practicing mindfulness with meditation.            , MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    , Positive  
1/27/2023 16:10, Trying out a new dessert recipe.                   , DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada , Positive  
1/28/2023 9:00, Excited about the upcoming gaming tournament.      , GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA, Positive  
1/28/2023 14:45, Planning a garden makeover for spring.             , GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      , Positive  
1/28/2023 19:30, Celebrating a friend's birthday tonight! 🎂       , BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK , Positive  
1/29/2023 17:00, Feeling accomplished after a productive day.       , ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India , Positive  
1/29/2023 20:20, A cozy evening with a good movie.                 , MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   , Positive  
1/30/2023 11:30, Exploring local art galleries this weekend.        , ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      , Positive  
1/30/2023 15:45, New book release from my favorite author!          , BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   , Positive  
1/30/2023 18:30, Attending a virtual reality meetup.                , VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    , Positive  
1/31/2023 10:45, Reflecting on the beauty of nature.                , NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia , Positive  
1/31/2023 19:00, Cooking a special dinner for loved ones.           , ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       , Positive  
1/31/2023 16:20, Feeling optimistic about the week ahead.           , OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   , Positive  
2/1/2023 8:00, Starting a new fitness challenge tomorrow! 💪     , FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         , Positive  
2/1/2023 13:30, Sunday bike ride through scenic trails.           , BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     , Positive  
2/11/2023 9:30, Can't believe the injustice happening in our society., SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     , Anger        
2/11/2023 21:15, Feeling a sense of fear after watching a thriller movie. , ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          , Fear         
2/12/2023 14:45, Heartbroken after hearing the news about a natural disaster. , EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      , Sadness      
2/12/2023 18:20, The state of the world's environment is just disgusting. , EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         , Disgust      
2/13/2023 10:00, Pure happiness: celebrating a loved one's achievement! , ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA , Happiness    
2/13/2023 19:30, Laughter is the best medicine—enjoying a comedy show. , ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    , Joy          
2/14/2023 8:30, Sharing love and positive vibes with everyone! ❤️      , LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  , Love         
2/14/2023 14:20, An amusing incident brightened up my day!               , AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           , Amusement    
2/14/2023 19:45, Enjoying a quiet evening with a book and some tea.      , BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       , Enjoyment    
2/15/2023 11:30, Admiring the beauty of nature during a peaceful hike.   , NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       , Admiration   
2/15/2023 16:00, Sending affectionate vibes to all my followers!          , AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA, Affection    
2/15/2023 20:30, Experiencing awe at the breathtaking sunset.            , AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   , Awe          
2/16/2023 9:00, Disappointed with the service at a local restaurant.    , FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      , Disappointed 
2/16/2023 14:45, A surprise gift from a friend made my day!              , HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          , Surprise     
2/16/2023 18:20, Finding acceptance in the midst of life's challenges.   , AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     , Acceptance   
2/17/2023 10:45, Overflowing with adoration for my adorable pet! 🐾      , PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        , Adoration    
2/17/2023 7:30, Anticipating a thrilling adventure in the coming weeks. , AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA, Anticipation 
2/17/2023 15:00, A bitter experience turned into a valuable lesson.      , LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       , Bitter       
2/18/2023 9:30, Finding calmness in the midst of a busy day.            , ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     , Calmness     
2/18/2023 14:20, Confusion clouds my mind as I navigate through decisions., ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   , Confusion    
2/18/2023 18:45, Excitement building up for the upcoming vacation!       , VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    , Excitement   
2/19/2023 11:30, Kindness witnessed today restored my faith in humanity. , KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       , Kind         
2/19/2023 16:00, Pride in achieving a personal milestone.               , PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    , Pride        
2/19/2023 19:45, A moment of shame for not standing up against injustice. , ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      , Shame        
2/20/2023 9:30, Fuming with anger after a heated argument.            , AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     , Anger        
2/20/2023 21:15, The fear of the unknown is keeping me up at night.    , FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          , Fear         
2/21/2023 14:45, Heartfelt sadness after bidding farewell to a dear friend. , FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      , Sadness      
2/21/2023 18:20, The state of corruption in our society is utterly disgusting. , AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         , Disgust      
2/22/2023 10:00, Overflowing happiness: welcoming a new family member!  , NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           , Happiness    
2/22/2023 19:30, Laughter is the key to joy—attending a stand-up comedy show. , StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    , Joy          
2/23/2023 8:30, Sending love to all my followers on this beautiful day! ❤️ , LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  , Love         
2/23/2023 14:20, Amused by the antics of my pet—it's pure amusement!      , PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           , Amusement    
2/23/2023 19:45, Enjoying every moment of this trip—pure enjoyment!      , TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA , Enjoyment    
2/24/2023 11:30, Admiring the dedication of volunteers at a local charity. , CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        , Admiration   
2/24/2023 16:00, Sending affectionate vibes to friends and family.        , FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA, Affection    
2/24/2023 20:30, Awe-struck by the beauty of the night sky.               , Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia , Awe          
2/25/2023 9:00, Disappointed with the lack of progress in a personal project. , ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      , Disappointed 
2/25/2023 14:45, A surprise visit from an old friend brought tears of joy. , JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          , Surprise     
2/25/2023 18:20, Embracing acceptance of life's ups and downs.           , LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     , Acceptance   
2/26/2023 10:45, Overflowing adoration for a cute rescue puppy! 🐶       , PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         , Adoration    
2/26/2023 7:30, Anticipating the release of a much-awaited movie.       , MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    , Anticipation 
2/26/2023 15:00, Bitter experience at the customer service department.   , CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       , Bitter       
2/27/2023 9:30, Finding calmness amidst the chaos of daily life.        , CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     , Calmness     
2/27/2023 14:20, Confusion reigns as I try to make sense of recent events., ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   , Confusion    
2/27/2023 18:45, Excitement building up for a surprise birthday party.   , BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada , Excitement   
2/28/2023 11:30, Witnessed an act of kindness that made my day.          , KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       , Kind         
2/28/2023 16:00, Pride in completing a challenging fitness challenge.    , FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            , Pride        
2/28/2023 19:45, A moment of shame for not speaking up against injustice., ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     , Shame        
3/1/2023 10:45, Reflecting on the beauty of diversity in our world.     , DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia , Acceptance   
3/1/2023 13:30, Excitement for a quiet evening with a good book.        , BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          , Excitement   
3/1/2023 17:45, Feeling bitter about the unfairness in the workplace.   , WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    , Bitter       
3/2/2023 18:00, Calmness prevails as I practice mindfulness.            , MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        , Calmness     
3/2/2023 13:15, Confusion surrounds me as I navigate through life's choices. , ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   , Confusion 
3/2/2023 16:45, Excitement for a weekend road trip to explore new places. , RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     , Excitement 
3/3/2023 11:30, Kindness witnessed today restores my faith in humanity.  , KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       , Kind         
3/3/2023 14:30, Pride in accomplishing personal and professional goals.  , GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada , Pride        
3/3/2023 12:00, Shame for not being true to my values in a difficult situation., ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        , Shame 
5/15/2010 15:30," Revisiting old memories, feeling a sense of elation. ", NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    , Elation       
8/10/2021 21:15, The victory of our team brought euphoria to the city. , SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      , Euphoria      
6/20/2011 14:45," Embracing the beauty of nature, a moment of contentment. ", NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       , Contentment   
2/12/2022 18:20," Meditating by the serene lake, finding inner peace.   ", ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          , Serenity      
11/25/2012 10:00, Overflowing with gratitude for life's blessings.      , ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30,60, Australia   , Gratitude     
4/5/2013 19:30," Hopeful for a brighter tomorrow, despite challenges.  ", OptimisticSoul  , Facebook , #Hope #Optimism                                ,22,45, USA      , Hope          
9/14/2014 8:30, Empowered to make a difference in my community.        , CommunityLeader , Twitter  , #Empowerment #Community                        ,15,30, UK       , Empowerment   
